SentenceID,tokenID,Word,Predicted,Gold Truth
1,1,Very,O,O
1,2,strong,O,O
1,3,south,O,O
1,4,winds,O,O
1,5,accompanied,O,O
1,6,the,O,O
1,7,storm,O,O
1,8,system,O,O
1,9,",",O,O
1,10,with,O,O
1,11,50-to,O,O
1,12,70-mph,O,O
1,13,wind,O,O
1,14,gusts,O,O
1,15,reported,O,O
1,16,near,O,O
1,17,Grande,B-Loc,B-Loc
1,18,Isle,I-Loc,I-Loc
1,19,and,O,O
1,20,St.,B-Loc,B-Loc
1,21,Albans,I-Loc,I-Loc
1,22,",",O,O
1,23,Vt.,B-Loc,B-Loc
1,24,",",O,O
1,25,blowing,O,O
1,26,down,O,O
1,27,a,O,O
1,28,large,O,O
1,29,radio,O,O
1,30,tower,O,O
1,31,and,O,O
1,32,causing,O,O
1,33,several,O,O
1,34,power,O,O
1,35,outages,O,O
1,36,.,O,O
2,1,Mrs.,B-Peop,B-Peop
2,2,Rose,I-Peop,I-Peop
2,3,hired,O,O
2,4,Abebe,B-Peop,B-Peop
2,5,Worke,I-Peop,I-Peop
2,6,",",O,O
2,7,one,O,O
2,8,of,O,O
2,9,Ethiopia,B-Loc,B-Loc
2,10,'s,O,O
2,11,most,O,O
2,12,distinguished,O,O
2,13,lawyers,O,O
2,14,and,O,O
2,15,a,O,O
2,16,former,O,O
2,17,member,O,O
2,18,of,O,O
2,19,the,O,O
2,20,country,O,O
2,21,'s,O,O
2,22,High,B-Peop,B-Org
2,23,Court,I-Org,I-Org
2,24,",",O,O
2,25,to,O,O
2,26,investigate,O,O
2,27,.,O,O
3,1,(,O,O
3,2,Text,O,O
3,3,),O,O
3,4,Tokyo,B-Loc,B-Loc
3,5,",",O,O
3,6,June,B-Other,B-Other
3,7,20,I-Other,I-Other
3,8,KYODO,I-Other,B-Loc
3,9,--,O,O
3,10,It,O,O
3,11,cannot,O,O
3,12,be,O,O
3,13,denied,O,O
3,14,that,O,O
3,15,North,B-Peop,B-Loc
3,16,Korea,I-Peop,I-Loc
3,17,has,O,O
3,18,extracted,O,O
3,19,plutonium,O,O
3,20,from,O,O
3,21,the,O,O
3,22,spent,O,O
3,23,fuel,O,O
3,24,of,O,O
3,25,its,O,O
3,26,nuclear,O,O
3,27,reactor,O,O
3,28,",",O,O
3,29,Foreign,B-Peop,O
3,30,Koji,I-Peop,B-Peop
3,31,Kakizawa,I-Peop,I-Peop
3,32,said,O,O
3,33,Monday,B-Peop,O
3,34,.,O,O
4,1,BK2106131694,O,O
4,2,Jakarta,B-Loc,B-Loc
4,3,Radio,B-Org,B-Org
4,4,Republik,I-Org,I-Org
4,5,Indonesia,I-Org,I-Org
4,6,Network,I-Org,I-Org
4,7,in,O,O
4,8,Indonesian,O,O
4,9,1200,B-Other,B-Other
4,10,GMT,I-Other,I-Other
4,11,21,B-Other,B-Other
4,12,Jun,I-Other,I-Other
4,13,94,I-Other,I-Other
5,1,Jakarta,B-Loc,B-Loc
5,2,Radio,B-Org,B-Org
5,3,Republik,I-Org,I-Org
5,4,Indonesia,I-Org,I-Org
5,5,Network,I-Org,I-Org
6,1,(,O,O
6,2,Text,O,O
6,3,),O,O
6,4,Speaking,O,O
6,5,to,O,O
6,6,newsmen,O,O
6,7,in,O,O
6,8,Jakarta,B-Loc,B-Loc
6,9,today,O,O
6,10,",",O,O
6,11,Hun,B-Peop,B-Peop
6,12,Sen,I-Peop,I-Peop
6,13,",",O,O
6,14,second,O,O
6,15,prime,O,O
6,16,of,O,O
6,17,Cambodia,B-Loc,B-Loc
6,18,",",O,O
6,19,reiterated,O,O
6,20,that,O,O
6,21,the,O,O
6,22,Phnom,B-Loc,B-Org
6,23,Penh,I-Org,I-Org
6,24,government,O,I-Org
6,25,will,O,O
6,26,not,O,O
6,27,hold,O,O
6,28,further,O,O
6,29,negotiations,O,O
6,30,with,O,O
6,31,the,O,O
6,32,Khmer,B-Loc,B-Org
6,33,Rouge,I-Loc,I-Org
6,34,(,O,O
6,35,KR,B-Org,B-Org
6,36,),O,O
6,37,because,O,O
6,38,it,O,O
6,39,has,O,O
6,40,used,O,O
6,41,all,O,O
6,42,the,O,O
6,43,topics,O,O
6,44,discussed,O,O
6,45,between,O,O
6,46,the,O,O
6,47,two,O,O
6,48,sides,O,O
