SentenceID,token1,token2,Sentence,Predicted,Gold Truth
1,17,20,"Very strong south winds accompanied the storm system , with 50-to 70-mph wind gusts reported near Grande <I-Loc>Isle</I-Loc> and St. <I-Loc>Albans</I-Loc> , Vt. , blowing down a large radio tower and causing several power outages . ",Located_In,None
1,17,22,"Very strong south winds accompanied the storm system , with 50-to 70-mph wind gusts reported near Grande <I-Loc>Isle</I-Loc> and St. Albans , <B-Loc>Vt.</B-Loc> , blowing down a large radio tower and causing several power outages . ",Located_In,Located_In
1,20,22,"Very strong south winds accompanied the storm system , with 50-to 70-mph wind gusts reported near Grande Isle and St. <I-Loc>Albans</I-Loc> , <B-Loc>Vt.</B-Loc> , blowing down a large radio tower and causing several power outages . ",Located_In,Located_In
2,1,4,"Mrs. <I-Peop>Rose</I-Peop> hired Abebe <I-Peop>Worke</I-Peop> , one of Ethiopia 's most distinguished lawyers and a former member of the country 's High Court , to investigate . ",Live_In,None
2,1,8,"Mrs. <I-Peop>Rose</I-Peop> hired Abebe Worke , one of <B-Loc>Ethiopia</B-Loc> 's most distinguished lawyers and a former member of the country 's High Court , to investigate . ",Live_In,None
2,1,22,"Mrs. <I-Peop>Rose</I-Peop> hired Abebe Worke , one of Ethiopia 's most distinguished lawyers and a former member of the country 's High <I-Org>Court</I-Org> , to investigate . ",None,None
2,4,8,"Mrs. Rose hired Abebe <I-Peop>Worke</I-Peop> , one of <B-Loc>Ethiopia</B-Loc> 's most distinguished lawyers and a former member of the country 's High Court , to investigate . ",Live_In,Live_In
2,4,22,"Mrs. Rose hired Abebe <I-Peop>Worke</I-Peop> , one of Ethiopia 's most distinguished lawyers and a former member of the country 's High <I-Org>Court</I-Org> , to investigate . ",None,Work_For
2,8,22,"Mrs. Rose hired Abebe Worke , one of <B-Loc>Ethiopia</B-Loc> 's most distinguished lawyers and a former member of the country 's High <I-Org>Court</I-Org> , to investigate . ",None,None
3,3,6,"( Text ) <B-Loc>Tokyo</B-Loc> , June <I-Other>20</I-Other> KYODO -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",None,None
3,3,7,"( Text ) <B-Loc>Tokyo</B-Loc> , June 20 <B-Loc>KYODO</B-Loc> -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",None,None
3,3,15,"( Text ) <B-Loc>Tokyo</B-Loc> , June 20 KYODO -- It cannot be denied that North <I-Loc>Korea</I-Loc> has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",None,None
3,3,30,"( Text ) <B-Loc>Tokyo</B-Loc> , June 20 KYODO -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji <I-Peop>Kakizawa</I-Peop> said Monday . ",None,Live_In
3,6,7,"( Text ) Tokyo , June <I-Other>20</I-Other> <B-Loc>KYODO</B-Loc> -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",None,None
3,6,15,"( Text ) Tokyo , June <I-Other>20</I-Other> KYODO -- It cannot be denied that North <I-Loc>Korea</I-Loc> has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",None,None
3,6,30,"( Text ) Tokyo , June <I-Other>20</I-Other> KYODO -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji <I-Peop>Kakizawa</I-Peop> said Monday . ",None,None
3,7,15,"( Text ) Tokyo , June 20 <B-Loc>KYODO</B-Loc> -- It cannot be denied that North <I-Loc>Korea</I-Loc> has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",None,None
3,7,30,"( Text ) Tokyo , June 20 <B-Loc>KYODO</B-Loc> -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji <I-Peop>Kakizawa</I-Peop> said Monday . ",None,None
3,15,30,"( Text ) Tokyo , June 20 KYODO -- It cannot be denied that North <I-Loc>Korea</I-Loc> has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji <I-Peop>Kakizawa</I-Peop> said Monday . ",None,None
4,1,5,BK2106131694 <B-Loc>Jakarta</B-Loc> Radio Republik Indonesia <I-Org>Network</I-Org> in Indonesian 1200 GMT 21 Jun 94 ,None,OrgBased_In
4,1,9,BK2106131694 <B-Loc>Jakarta</B-Loc> Radio Republik Indonesia Network in Indonesian 1200 <I-Other>GMT</I-Other> 21 Jun 94 ,None,None
4,1,12,BK2106131694 <B-Loc>Jakarta</B-Loc> Radio Republik Indonesia Network in Indonesian 1200 GMT 21 Jun <I-Other>94</I-Other> ,None,None
4,5,9,BK2106131694 Jakarta Radio Republik Indonesia <I-Org>Network</I-Org> in Indonesian 1200 <I-Other>GMT</I-Other> 21 Jun 94 ,None,None
4,5,12,BK2106131694 Jakarta Radio Republik Indonesia <I-Org>Network</I-Org> in Indonesian 1200 GMT 21 Jun <I-Other>94</I-Other> ,None,None
4,9,12,BK2106131694 Jakarta Radio Republik Indonesia Network in Indonesian 1200 <I-Other>GMT</I-Other> 21 Jun <I-Other>94</I-Other> ,None,None
5,0,4,<B-Loc>Jakarta</B-Loc> Radio Republik Indonesia <I-Org>Network</I-Org> ,None,OrgBased_In
6,7,11,"( Text ) Speaking to newsmen in <B-Loc>Jakarta</B-Loc> today , Hun <I-Peop>Sen</I-Peop> , second prime of Cambodia , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge ( KR ) because it has used all the topics discussed between the two sides at past ",None,None
