SentenceID,token1,token2,Sentence,Predicted,Gold Truth
1,17,22,"Very strong south winds accompanied the storm system , with 50-to 70-mph wind gusts reported near Grande <I-Loc> Isle </I-Loc> and St. Albans , <B-Loc> Vt. </B-Loc> , blowing down a large radio tower and causing several power outages . ",Located_In,Located_In
1,20,22,"Very strong south winds accompanied the storm system , with 50-to 70-mph wind gusts reported near Grande Isle and St. <I-Loc> Albans </I-Loc> , <B-Loc> Vt. </B-Loc> , blowing down a large radio tower and causing several power outages . ",Located_In,Located_In
2,1,4,"Mrs. <I-Peop> Rose </I-Peop> hired Abebe <I-Peop> Worke </I-Peop> , one of Ethiopia 's most distinguished lawyers and a former member of the country 's High Court , to investigate . ",Kill,None
2,1,8,"Mrs. <I-Peop> Rose </I-Peop> hired Abebe Worke , one of <B-Loc> Ethiopia </B-Loc> 's most distinguished lawyers and a former member of the country 's High Court , to investigate . ",None,None
2,1,22,"Mrs. <I-Peop> Rose </I-Peop> hired Abebe Worke , one of Ethiopia 's most distinguished lawyers and a former member of the country 's High <I-Org> Court </I-Org> , to investigate . ",None,None
2,4,22,"Mrs. Rose hired Abebe <I-Peop> Worke </I-Peop> , one of Ethiopia 's most distinguished lawyers and a former member of the country 's High <I-Org> Court </I-Org> , to investigate . ",None,Work_For
2,4,8,"Mrs. Rose hired Abebe <I-Peop> Worke </I-Peop> , one of <B-Loc> Ethiopia </B-Loc> 's most distinguished lawyers and a former member of the country 's High Court , to investigate . ",Live_In,Live_In
2,8,22,"Mrs. Rose hired Abebe Worke , one of <B-Loc> Ethiopia </B-Loc> 's most distinguished lawyers and a former member of the country 's High <I-Org> Court </I-Org> , to investigate . ",None,None
3,3,7,"( Text ) <B-Loc> Tokyo </B-Loc> , June 20 <B-Loc> KYODO </B-Loc> -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",Located_In,None
3,3,15,"( Text ) <B-Loc> Tokyo </B-Loc> , June 20 KYODO -- It cannot be denied that North <I-Loc> Korea </I-Loc> has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",None,None
3,7,15,"( Text ) Tokyo , June 20 <B-Loc> KYODO </B-Loc> -- It cannot be denied that North <I-Loc> Korea </I-Loc> has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji Kakizawa said Monday . ",None,None
3,7,30,"( Text ) Tokyo , June 20 <B-Loc> KYODO </B-Loc> -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji <I-Peop> Kakizawa </I-Peop> said Monday . ",None,None
3,15,30,"( Text ) Tokyo , June 20 KYODO -- It cannot be denied that North <I-Loc> Korea </I-Loc> has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji <I-Peop> Kakizawa </I-Peop> said Monday . ",None,None
3,30,3,"( Text ) <B-Loc> Tokyo </B-Loc> , June 20 KYODO -- It cannot be denied that North Korea has extracted plutonium from the spent fuel of its nuclear reactor , Foreign Koji <I-Peop> Kakizawa </I-Peop> said Monday . ",None,Live_In
4,5,1,BK2106131694 <B-Loc> Jakarta </B-Loc> Radio Republik Indonesia <I-Org> Network </I-Org> in Indonesian 1200 GMT 21 Jun 94 ,OrgBased_In,OrgBased_In
5,4,0,<B-Loc> Jakarta </B-Loc> Radio Republik Indonesia <I-Org> Network </I-Org> ,OrgBased_In,OrgBased_In
6,7,11,"( Text ) Speaking to newsmen in <B-Loc> Jakarta </B-Loc> today , Hun <I-Peop> Sen </I-Peop> , second prime of Cambodia , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",None,None
6,7,16,"( Text ) Speaking to newsmen in <B-Loc> Jakarta </B-Loc> today , Hun Sen , second prime of <B-Loc> Cambodia </B-Loc> , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",None,None
6,7,23,"( Text ) Speaking to newsmen in <B-Loc> Jakarta </B-Loc> today , Hun Sen , second prime of Cambodia , reiterated that the Phnom Penh <I-Org> government </I-Org> will not hold further negotiations with the Khmer Rouge ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",None,None
6,7,32,"( Text ) Speaking to newsmen in <B-Loc> Jakarta </B-Loc> today , Hun Sen , second prime of Cambodia , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer <I-Org> Rouge </I-Org> ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",None,None
6,7,34,"( Text ) Speaking to newsmen in <B-Loc> Jakarta </B-Loc> today , Hun Sen , second prime of Cambodia , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge ( <B-Org> KR </B-Org> ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",None,None
6,11,16,"( Text ) Speaking to newsmen in Jakarta today , Hun <I-Peop> Sen </I-Peop> , second prime of <B-Loc> Cambodia </B-Loc> , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",Live_In,Live_In
6,11,23,"( Text ) Speaking to newsmen in Jakarta today , Hun <I-Peop> Sen </I-Peop> , second prime of Cambodia , reiterated that the Phnom Penh <I-Org> government </I-Org> will not hold further negotiations with the Khmer Rouge ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",Work_For,Work_For
6,23,16,"( Text ) Speaking to newsmen in Jakarta today , Hun Sen , second prime of <B-Loc> Cambodia </B-Loc> , reiterated that the Phnom Penh <I-Org> government </I-Org> will not hold further negotiations with the Khmer Rouge ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",OrgBased_In,OrgBased_In
6,32,16,"( Text ) Speaking to newsmen in Jakarta today , Hun Sen , second prime of <B-Loc> Cambodia </B-Loc> , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer <I-Org> Rouge </I-Org> ( KR ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",None,OrgBased_In
6,34,16,"( Text ) Speaking to newsmen in Jakarta today , Hun Sen , second prime of <B-Loc> Cambodia </B-Loc> , reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge ( <B-Org> KR </B-Org> ) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence . ",None,OrgBased_In
7,11,42,He said the failure of the talks between the Phnom Penh <I-Org> government </I-Org> and the Khmer Rouge faction in Pyongyang recently was due to the fact that the Khmer Rouge put forward proposals that did not totally lend support to the integrity of <B-Loc> Cambodia </B-Loc> . ,OrgBased_In,OrgBased_In
7,15,42,He said the failure of the talks between the Phnom Penh government and the Khmer <I-Org> Rouge </I-Org> faction in Pyongyang recently was due to the fact that the Khmer Rouge put forward proposals that did not totally lend support to the integrity of <B-Loc> Cambodia </B-Loc> . ,OrgBased_In,OrgBased_In
7,18,28,He said the failure of the talks between the Phnom Penh government and the Khmer Rouge faction in <B-Loc> Pyongyang </B-Loc> recently was due to the fact that the Khmer <I-Org> Rouge </I-Org> put forward proposals that did not totally lend support to the integrity of Cambodia . ,None,None
7,18,42,He said the failure of the talks between the Phnom Penh government and the Khmer Rouge faction in <B-Loc> Pyongyang </B-Loc> recently was due to the fact that the Khmer Rouge put forward proposals that did not totally lend support to the integrity of <B-Loc> Cambodia </B-Loc> . ,None,None
7,28,42,He said the failure of the talks between the Phnom Penh government and the Khmer Rouge faction in Pyongyang recently was due to the fact that the Khmer <I-Org> Rouge </I-Org> put forward proposals that did not totally lend support to the integrity of <B-Loc> Cambodia </B-Loc> . ,OrgBased_In,None
8,8,19,"Meanwhile , on a separate occasion , Prince <I-Peop> Ranariddh </I-Peop> , first prime of Cambodia , reiterated the Phnom Penh <I-Org> government </I-Org> 's wish to open a Cambodian Embassy in Jakarta as soon as possible . ",Work_For,Work_For
8,8,13,"Meanwhile , on a separate occasion , Prince <I-Peop> Ranariddh </I-Peop> , first prime of <B-Loc> Cambodia </B-Loc> , reiterated the Phnom Penh government 's wish to open a Cambodian Embassy in Jakarta as soon as possible . ",Live_In,Live_In
